btc_address, balance
1P7EU8QuTD5cBMR2WL2iX1PWJhik8HBL1k, 2.10946866
39qGbPvYK9uLFwZu4rKmrZurthpH4SuLcz, 2.10946310
15RzVEXbGot6qGwAa9A9VzvRGfVEJjAYdJ, 2.10946000
3QcezCrZ6PEHAnz4XFxnSNVaap76z7MXq3, 2.10945000
1EVv3joz3ww9jZax3yHfWVN8jTupmLgvs9, 2.10943857
3DvLGnoUWpDCNHR2PUvtHRKdUsyMUoybiZ, 2.10943800
1HP3xiPx3ngcUMjWnryr3AiZMa1bLevd29, 2.10942000
3EirLGNDooVRZ9xNFfaPk7rGebMpTcpCYG, 2.10941850
1JSbeBtuuhUiCyS6iy2FbHmNqiAA7ktnbs, 2.10941624
3QuVaaUb642sZDzQzWjPrmmSUw6ZbnNNZx, 2.10939390
3CrNNQJ6rHDMJ7DxYRbWdecRF6h4DAvLJr, 2.10937817
34UybwCoTqTotKcxtGcWXq9BNicgYtk677, 2.10936265
3FP1vwPNZddSFWx5yPRUnTTSsUsCbNe8QD, 2.10931602
35YnE1o1RXvwzPK2o8YFTKQYvsHphW9X8U, 2.10931281
bc1qm5re9z4a3ttqh2jqtg6ge8qga4qfrxkyq8ek5x, 2.10931239
1KFta6eTdjbRuTjWSnzYuVUkP8Z893pEtv, 2.10931200
1H3DRA78Xz96rE9YMG7q5g6BgtGo744Szx, 2.10930995
bc1qad8d5snn7l7e5s2888jd77egq5qz32d6cjmrnn, 2.10930898
1MU46inmsAxzqGqMboKnq1Y4Ldicsg1rY4, 2.10930000
bc1qfy3076342ye2w4mlc9gk9myrpgmdy93h7mu038, 2.10930000
1FwznJEMmz8TPhLsSXHrwmfCGSEFYZ46RU, 2.10930000
1JX9MjBXmoBqfDw7FXeesMCVzXt2XvrPVQ, 2.10930000
bc1qwj6tfsl8dadzk9puy0lj7x22ltc2u67nn58t0z, 2.10929387
39FejWceFWQ8LsTgkRdLnek2ws6GwPLrU9, 2.10929196
3FFLWX1LZM7seTpTPuRtPnuMpqe3Epm31v, 2.10927160
1DnSsA5nnJsbTurNjkv7ZUxiM3CDTDtWss, 2.10927087
34shH8VBbr7Nq3DkxtuWCmb1uwxncfZJL8, 2.10927000
bc1qnm9y0sxw9ecss2tcf4rulm0xvp87takwqyfv28, 2.10925000
3JEeu2qiFzEpXW3JCyWek4DinSFkWK33E1, 2.10923705
